  2
  T2           17 IDCBASE
     50.0       -0.3877639       0.0407578
    250.0       -0.0663106       0.0383466
    350.0       -0.0398401       0.0360064
    550.0       -0.0129532       0.0296981
    650.0       -0.0051666       0.0258895
    850.0        0.0043553       0.0178771
    950.0        0.0069335       0.0139745
   1150.0        0.0089712       0.0068708
   1250.0        0.0087698       0.0039052
   1450.0       -0.0069807       0.0005188
   1550.0       -0.0055781       0.0019221
   1750.0       -0.0026496       0.0032588
   1850.0       -0.0013566       0.0033346
   2050.0        0.0007069       0.0026058
   2150.0        0.0013141       0.0018876
   2350.0        0.0018464       0.0004480
   2450.0       -0.0017881       0.0002064
  B2           17 IDCBASE
     50.0       -0.9693580       0.1649966
    250.0       -0.1246231       0.1406253
    350.0       -0.0479127       0.1189101
    550.0        0.0220050       0.0673987
    650.0        0.0340900       0.0425221
    850.0        0.0323906       0.0044879
    950.0       -0.0243006       0.0066724
   1150.0       -0.0058399       0.0137079
   1250.0        0.0012201       0.0115357
   1450.0        0.0073579       0.0025886
   1550.0       -0.0068043       0.0016437
   1750.0       -0.0015745       0.0058933
   1850.0        0.0012943       0.0055511
   2050.0        0.0045044       0.0019289
   2150.0       -0.0043926       0.0002543
   2350.0       -0.0018309       0.0029829
   2450.0       -0.0001362       0.0030970
