   M2           M1            1 1 Y-G D            630.                  
    .00060  .01600 9.9E+10 9.9E+10      0.      0.
        5.     -5.      5.      .2      0.      0.      0.                      
   R2           R1            1 1 Y-G D           222.2                  
    .00202  .03816 9.9E+10 9.9E+10      0.      0.
       2.2      0.     4.5      0.      0.      0.      0.                      
   A2           A1            1 1 Y-G D            244.                    
    .00147  .04184 9.9E+10 9.9E+10      0.      0.
        2.      0.     4.5      2.      0.      0.      0.                      
   B2           B1            1 1 Y-G D            200.                    
    .00120  .03200 9.9E+10 9.9E+10      0.      0.
        0.      0.      0.      2.      0.      0.      0.                      

